,Unnamed: 0,subject,predicate,object,question,context,bool_type,source_type,input,label,contextual_answer,output
0,0,do,CapableOf,wear sunglass at night,"can you wear sunglasses at night?
 can you wear sunglasses at night?
can i wear sunglasses at night?"," sunglasses are typically worn to protect the eyes from the sun.
 sunglasses are used to protect your eyes from the sun.",neg,need_edit,can you wear sunglasses at night?,1,false,contextual: false
1,1,spy,Desires,be discover,"does a spy want to be discovered?
 does a spy usually desire to be discovered?
does spy want to be discovered?"," spies are meant to be secretive.
 a spy wants to be undetected.",neg,need_edit,does a spy want to be discovered?,2,false,contextual: false
2,2,person,Desires,be uncomfortable,"do people want to be uncomfortable?
 do people usually want to be uncomfortable?
does a person want to be uncomfortable?"," people generally prefer comfort.
 people want to be comfortable.",neg,need_edit,do people want to be uncomfortable?,3,false,contextual: false
3,3,machine,IsA,animal,"is a machine an animal?
 is a machine a kind of animal?
is machine a type of animal?"," animals are alive.
 a machine is a tool.",neg,need_edit,is a machine an animal?,4,false,contextual: false
4,4,plunge toilet,HasProperty,pleasant,"does plunging a toilet have the property of being pleasant?
 is plunging a toilet generally pleasant?
does plunge toilet have the property of pleasant?"," the act of plunging a toilet is often considered unpleasant.
 plunging a toilet is a type of work.",neg,need_edit,does plunging a toilet have the property of being pleasant?,5,false,contextual: false
5,5,student,Desires,do homework,"do students desire to do homework?
 do students generally desire to do homework?
does student want to do homework?"," homework can be stressful.
 students desire to play.",neg,need_edit,do students desire to do homework?,6,false,contextual: false
6,6,person,Desires,lot of problem,"do people desire a lot of problems?
 do people usually desire a lot of problems?
does a person want a lot of problems?"," people desire things that they think will make them happy.
 people are a kind of animal.",neg,need_edit,do people desire a lot of problems?,7,false,contextual: false
7,7,person,Desires,boss,"does a person want their boss?
 does every person desire their boss?
does a person want a boss?", a person's boss is their superior.,neg,need_edit,does a person want their boss?,8,false,contextual: false
8,8,horserider,Desires,sick horse,"does a horserider want a sick horse?
 does a horserider usually want a sick horse?
does horserider want sick horses?"," a sick horse cannot race.
 a horserider wants a healthy horse.",neg,need_edit,does a horserider want a sick horse?,9,false,contextual: false
9,9,hero,Desires,slide,"does the hero want to slide?
 does the hero want to slide?
does hero want to slide?", the hero wants to slide down the slide.,neg,need_edit,does the hero want to slide?,10,false,contextual: false
10,10,person,Desires,life to be tedious,"does this person want their life to be tedious?
 do people usually want their lives to be tedious?
does a person want life to be tedious?"," this person wants their life to be exciting.
 tedious means boring.",neg,need_edit,does this person want their life to be tedious?,11,false,contextual: false
11,11,groundhog,IsA,type of pig,"is a groundhog a type of pig?
 is a groundhog a type of pig?
is groundhog a type of pig?"," groundhogs are also known as woodchucks.
 a groundhog is a type of rodent.",neg,need_edit,is a groundhog a type of pig?,12,false,contextual: false
12,12,dog,Desires,hear loud noise,"do dogs want to hear loud noises?
 do dogs usually desire to hear loud noises?
does your dog want to hear loud noises?"," dogs have sensitive hearing.
 dogs are afraid of loud noises.",neg,need_edit,do dogs want to hear loud noises?,13,false,contextual: false
